1.05,0.09,-0.18,-43,-19,48
1.02,0.04,-0.17,-40,-19,62
1.05,0.05,-0.19,-40,-24,73
1.05,0.06,-0.18,-37,-22,86
1.02,0.08,-0.15,-32,-13,96
1.02,0.11,-0.14,-23,-1,96
1.02,0.1,-0.12,-17,1,95
1.01,0.12,-0.13,-1,4,94
1,0.09,-0.12,13,-1,88
1.06,0.07,-0.09,22,-14,84
1.04,0.06,-0.07,32,-14,81
0.98,0.07,-0.03,26,-4,76
1,0.08,-0.01,38,-1,58
1.05,0.12,-0.09,31,-14,59
1.02,0.09,-0.07,0,-27,39
0.99,0.07,-0.11,0,-31,38
1.03,-0.01,-0.12,-15,-33,46
1.09,0.03,-0.19,-27,-23,57
1.03,0.07,-0.16,-31,-17,64
1.04,0.11,-0.17,-34,-9,76
1.03,0.12,-0.16,-30,-3,84
1.02,0.1,-0.13,-27,-1,87
1.01,0.08,-0.1,-27,1,90
1,0.05,-0.08,-19,4,89
1.02,0.02,-0.08,-18,5,90
1,0.03,-0.07,-7,3,94
1.02,0.08,-0.08,-4,5,95
1.01,0.11,-0.07,12,-7,97
1.01,0.06,-0.03,31,-14,92
1,0.05,-0.04,40,-12,81
1.02,0.04,-0.01,44,-11,61
1.05,0.07,-0.07,21,-19,54
1.01,0.07,-0.04,2,-24,48
1.02,0.02,-0.09,-7,-26,47
1.06,-0.02,-0.08,-13,-23,53
1.06,0.07,-0.16,-22,-18,59
1.03,0.06,-0.14,-24,-16,65
1.01,0.05,-0.14,-28,-11,73
1,0.04,-0.12,-27,-6,79
1.01,0.04,-0.11,-28,-1,83
1.01,0.03,-0.09,-30,3,86
1.03,0.06,-0.08,-25,4,87
1.03,0.07,-0.1,-19,5,86
1.03,0.07,-0.07,-10,4,82
1.02,0.09,-0.07,-2,4,84
1.03,0.1,-0.01,13,10,79
0.99,0.12,-0.03,25,9,77
1.05,0.03,-0.08,27,1,73
1.02,-0.01,-0.04,22,-6,65
1.01,0,-0.04,16,-12,58
1.01,0.04,-0.07,1,-23,41
1.03,0.07,-0.09,-11,-25,43
1.03,0.06,-0.12,-22,-25,45
1.02,0.02,-0.12,-28,-21,52
1.05,0.01,-0.14,-32,-16,62
1.03,0.02,-0.12,-40,-9,75
1.02,0.03,-0.12,-41,-4,79
1.01,0.03,-0.09,-41,5,85
1.03,0.05,-0.12,-38,12,89
1.02,0.06,-0.09,-39,18,88
1.03,0.07,-0.12,-32,18,86
1.04,0.03,-0.13,-33,16,91
1.04,0.02,-0.11,-21,6,88
1.01,0.02,-0.1,-9,4,88
1.01,0.02,-0.09,9,-2,75
0.98,0.07,-0.04,14,2,65
1.05,0.08,-0.1,8,2,60
1.04,0.04,-0.05,-2,0,40
1.03,0.04,-0.06,-19,0,25
1.04,0.03,-0.06,-24,-3,24
1.03,0.05,-0.1,-24,-8,35
1.02,0.04,-0.14,-24,-11,42
1.03,0.04,-0.14,-32,-12,50
1.05,0.05,-0.18,-42,-10,60
1.02,0.04,-0.17,-46,-8,69
1.01,0.05,-0.14,-48,-7,74
1.02,0.03,-0.12,-47,-3,81
1.02,0.02,-0.11,-46,-1,82
1.03,0.02,-0.1,-40,3,84
1.03,0.04,-0.11,-32,9,86
1.03,0.05,-0.11,-22,10,85
1.04,0.07,-0.12,-14,11,83
1.04,0.06,-0.1,-8,9,80
1.03,0.05,-0.09,-6,10,75
1.02,0.08,-0.08,-1,9,70
1.01,0.09,-0.05,3,7,63
1.02,0.07,-0.04,6,8,60
1.02,0.05,-0.02,5,3,55
1.04,0.07,-0.06,4,1,53
1,0.03,-0.04,3,-8,48
1.04,0.03,-0.09,-5,-14,42
1.02,0.02,-0.07,-13,-16,43
1.03,0.04,-0.11,-19,-17,45
1.04,0.04,-0.1,-23,-17,49
1.04,0.04,-0.12,-31,-10,61
1.01,0.04,-0.11,-35,-2,67
1.02,0.04,-0.11,-37,1,72
1.04,0.06,-0.12,-39,3,78
1.01,0.06,-0.08,-38,5,79
1.02,0.05,-0.08,-35,7,84
1.02,0.05,-0.1,-32,7,85
1.03,0.05,-0.07,-24,10,86
1.02,0.05,-0.06,-20,11,86
1.03,0.04,-0.06,-13,8,83
1.04,0.08,-0.05,-2,9,77
1.02,0.1,-0.03,7,9,77
1,0.08,-0.04,13,7,84
1.01,0,-0.03,18,2,74
1.03,-0.02,-0.05,13,-8,69
1.02,0.02,-0.02,9,-14,65
1.02,0.04,-0.04,5,-20,49
0.99,0.06,-0.03,-3,-20,43
1.03,0.06,-0.06,-9,-21,42
1.07,0.07,-0.12,-16,-21,47
1.03,0.03,-0.11,-20,-17,56
1.05,0.01,-0.11,-29,-10,63
1.03,-0.01,-0.11,-34,-11,66
1.02,-0.01,-0.11,-37,-6,71
1.02,0.05,-0.08,-38,1,76
1.02,0.07,-0.09,-32,1,76
1.02,0.06,-0.09,-26,4,78
1.02,0.06,-0.06,-26,5,82
1.01,0.06,-0.05,-19,7,85
1.02,0.08,-0.08,-10,7,86
1,0.07,-0.04,-2,10,85
1.03,0.1,-0.08,3,8,85
1.01,0.08,-0.04,8,5,80
1.02,0.05,-0.03,9,-8,79
1.02,0.04,-0.06,7,-15,70
1.05,0.01,-0.04,5,-19,66
1,0.04,-0.01,1,-20,50
1.01,0.04,-0.03,-6,-25,42
1.02,0.04,-0.07,-19,-28,37
1.05,0.06,-0.07,-23,-22,49
1.03,0.05,-0.07,-31,-20,48
1.04,0.06,-0.13,-31,-13,54
1.04,0.04,-0.12,-30,-8,60
1.03,0.04,-0.13,-32,-5,64
1.02,0.01,-0.1,-33,-2,68
1.05,0.04,-0.12,-39,2,74
1.04,0.05,-0.11,-39,3,79
1.02,0.05,-0.09,-42,6,86
1.01,0.06,-0.09,-39,7,87
1.02,0.07,-0.09,-26,5,83
1.03,0.05,-0.07,-21,4,82
1.02,0.03,-0.08,-14,1,78
1.01,0.02,-0.06,-6,-2,77
1.01,0.04,-0.07,-2,0,70
1.02,0.1,-0.02,1,-5,66
